psraid,oref nominee,Jobs Imp,Budget Imp,Immigration Imp,FP Imp (constructed),Jobs,Budget ,Immigration,FP
201702,5,1,2,2,0,5,5,5,5
201769,5,2,1,3,0,5,5,4,1
201836,5,1,3,3,0,5,5,5,5
201963,1,1,1,2,0,1,1,9,1
202077,1,1,1,1,0,4,1,1,1
202092,3,2,1,1,0,4,3,3,3
202130,5,1,1,1,0,5,5,3,5
202225,1,1,1,1,0,1,1,6,3
202267,6,1,1,2,0,5,5,1,1
202332,4,1,1,1,0,3,3,3,3
202430,1,3,1,1,0,1,1,1,9
202495,3,1,1,3,0,9,9,9,9
202710,5,1,2,1,0,5,5,9,5
202847,6,1,1,3,0,5,3,8,1
202935,1,1,1,2,0,1,5,1,1
203132,5,2,1,1,0,9,5,9,5
203368,1,1,1,1,0,1,1,1,1
203514,5,1,2,3,0,5,5,5,5
203559,5,2,1,2,0,5,5,1,5
203675,6,3,1,1,0,5,5,6,6
203706,3,1,1,1,0,1,1,3,3
203852,5,1,1,1,0,5,5,5,5
203883,5,2,1,2,0,9,1,5,5
203977,3,4,1,2,0,3,3,3,3
204044,6,1,1,1,0,6,6,6,6
204051,5,2,1,1,0,5,5,5,5
204209,6,1,1,2,0,6,6,9,1
204216,3,3,3,3,0,9,9,9,1
204246,1,2,2,3,0,5,1,1,1
204482,3,2,1,1,0,3,3,8,1
204551,3,1,1,1,0,3,3,3,3
204679,3,4,2,2,0,3,9,3,3
204974,3,4,1,2,0,3,3,3,3
205014,3,1,1,2,0,3,3,3,1
205037,5,2,1,1,0,5,5,5,5
205149,1,1,1,3,0,6,3,4,1
205160,1,1,1,1,0,1,1,1,1
205351,4,2,2,2,0,1,1,1,5
205451,5,1,1,2,0,9,9,9,9
205467,1,1,1,1,0,8,9,3,1
205507,4,1,1,2,0,4,5,4,9
205532,5,1,1,1,0,5,5,9,2
205697,1,1,1,3,0,3,3,5,1
205982,3,1,3,1,0,3,3,9,1
206028,3,2,1,3,0,3,3,6,1
206157,1,1,1,1,0,9,9,9,1
206271,5,1,1,1,0,5,5,3,2
206366,6,1,1,1,0,1,1,1,1
206424,5,1,1,2,0,3,5,3,5
206630,6,1,1,2,0,4,5,6,1
206689,5,1,1,1,0,5,5,5,4
206728,3,4,1,4,0,3,3,3,3
206869,3,1,1,2,0,3,3,4,3
206909,5,1,1,2,0,5,6,1,5
207133,5,1,1,2,0,5,5,5,5
207399,3,2,1,3,0,3,3,3,3
207466,5,1,1,3,0,9,9,1,5
207556,6,1,1,2,0,5,5,4,1
207583,6,1,2,1,0,1,1,6,1
207631,6,1,1,2,0,6,6,6,6
207671,1,1,1,1,0,1,1,4,1
207883,1,1,1,3,0,7,7,9,1
207885,1,1,1,2,0,5,5,4,1
208110,2,1,1,1,0,5,5,1,2
208131,5,1,1,1,0,5,5,5,1
208400,6,1,1,2,0,5,1,4,1
208423,5,2,1,1,0,5,1,1,1
208447,4,2,1,2,0,4,5,4,5
